YEAR,MONTH,DATE,AUTOSALE,CPI
1985,10,1985.75,24.190,0.853
1985,11,1985.833333,22.353,0.856
1985,12,1985.916667,22.319,0.858
1986,1,1986,22.968,0.860
1986,2,1986.083333,22.456,0.858
1986,3,1986.166667,25.209,0.854
1986,4,1986.25,27.132,0.852
1986,5,1986.333333,29.392,0.855
1986,6,1986.416667,28.625,0.859
1986,7,1986.5,27.968,0.859
1986,8,1986.583333,28.269,0.861
1986,9,1986.666667,33.995,0.865
1986,10,1986.75,27.434,0.866
1986,11,1986.833333,23.743,0.867
1986,12,1986.916667,28.947,0.867
1987,1,1987,20.648,0.873
1987,2,1987.083333,23.939,0.876
1987,3,1987.166667,29.171,0.880
1987,4,1987.25,30.331,0.885
1987,5,1987.333333,30.329,0.888
1987,6,1987.416667,32.631,0.891
1987,7,1987.5,32.004,0.893
1987,8,1987.583333,32.544,0.898
1987,9,1987.666667,30.103,0.903
1987,10,1987.75,28.498,0.905
1987,11,1987.833333,25.793,0.906
1987,12,1987.916667,26.905,0.906
1988,1,1988,26.155,0.908
1988,2,1988.083333,28.667,0.911
1988,3,1988.166667,33.504,0.914
1988,4,1988.25,32.507,0.919
1988,5,1988.333333,33.567,0.922
1988,6,1988.416667,34.952,0.926
1988,7,1988.5,32.068,0.930
1988,8,1988.583333,33.215,0.934
1988,9,1988.666667,30.031,0.940
1988,10,1988.75,29.922,0.943
1988,11,1988.833333,29.055,0.944
1988,12,1988.916667,28.927,0.946
1989,1,1989,27.652,0.951
1989,2,1989.083333,27.704,0.954
1989,3,1989.166667,33.945,0.960
1989,4,1989.25,33.192,0.966
1989,5,1989.333333,36.086,0.972
1989,6,1989.416667,35.864,0.974
1989,7,1989.5,33.738,0.976
1989,8,1989.583333,37.068,0.978
1989,9,1989.666667,33.809,0.981
1989,10,1989.75,30.497,0.986
1989,11,1989.833333,29.171,0.988
1989,12,1989.916667,27.285,0.990
1990,1,1990,30.925,1.000
1990,2,1990.083333,28.762,1.005
1990,3,1990.166667,34.571,1.010
1990,4,1990.25,33.530,1.012
1990,5,1990.333333,35.827,1.014
1990,6,1990.416667,35.571,1.020
1990,7,1990.5,34.190,1.024
1990,8,1990.583333,34.988,1.033
1990,9,1990.666667,31.393,1.042
1990,10,1990.75,31.963,1.048
1990,11,1990.833333,29.236,1.050
1990,12,1990.916667,26.649,1.050
1991,1,1991,25.712,1.057
1991,2,1991.083333,27.131,1.058
1991,3,1991.166667,32.188,1.060
1991,4,1991.25,33.126,1.061
1991,5,1991.333333,34.934,1.064
1991,6,1991.416667,33.656,1.068
1991,7,1991.5,34.070,1.069
1991,8,1991.583333,32.943,1.072
1991,9,1991.666667,31.469,1.077
1991,10,1991.75,31.378,1.078
1991,11,1991.833333,28.451,1.082
1991,12,1991.916667,27.589,1.082
1992,1,1992,28.870,1.084
1992,2,1992.083333,30.360,1.088
1992,3,1992.166667,34.131,1.093
1992,4,1992.25,35.170,1.095
1992,5,1992.333333,35.518,1.097
1992,6,1992.416667,37.453,1.100
1992,7,1992.5,36.872,1.103
1992,8,1992.583333,34.480,1.106
1992,9,1992.666667,34.973,1.109
1992,10,1992.75,35.695,1.113
1992,11,1992.833333,31.388,1.115
1992,12,1992.916667,32.025,1.114
1993,1,1993,31.128,1.119
1993,2,1993.083333,31.711,1.123
1993,3,1993.166667,38.094,1.127
1993,4,1993.25,39.812,1.130
1993,5,1993.333333,40.131,1.132
1993,6,1993.416667,41.778,1.133
1993,7,1993.5,41.657,1.133
1993,8,1993.583333,40.320,1.137
1993,9,1993.666667,38.917,1.139
1993,10,1993.75,38.909,1.144
1993,11,1993.833333,37.645,1.144
1993,12,1993.916667,37.695,1.144
1994,1,1994,35.152,1.148
1994,2,1994.083333,37.817,1.151
1994,3,1994.166667,47.167,1.155
1994,4,1994.25,46.016,1.157
1994,5,1994.333333,45.476,1.158
1994,6,1994.416667,47.676,1.162
1994,7,1994.5,44.114,1.165
1994,8,1994.583333,46.475,1.170
1994,9,1994.666667,44.743,1.173
1994,10,1994.75,44.413,1.173
1994,11,1994.833333,41.905,1.175
1994,12,1994.916667,40.814,1.175
1995,1,1995,38.938,1.180
1995,2,1995.083333,39.837,1.184
1995,3,1995.166667,49.676,1.188
1995,4,1995.25,46.089,1.192
1995,5,1995.333333,50.820,1.195
1995,6,1995.416667,52.887,1.197
1995,7,1995.5,48.088,1.197
1995,8,1995.583333,51.250,1.200
1995,9,1995.666667,46.883,1.203
1995,10,1995.75,46.404,1.206
1995,11,1995.833333,43.943,1.206
1995,12,1995.916667,41.893,1.205
1996,1,1996,42.794,1.212
1996,2,1996.083333,47.315,1.216
1996,3,1996.166667,53.348,1.222
1996,4,1996.25,51.765,1.227
1996,5,1996.333333,55.694,1.229
1996,6,1996.416667,52.595,1.230
1996,7,1996.5,52.632,1.232
1996,8,1996.583333,53.039,1.235
1996,9,1996.666667,48.914,1.239
1996,10,1996.75,51.677,1.243
1996,11,1996.833333,45.877,1.245
1996,12,1996.916667,44.017,1.245
1997,1,1997,46.045,1.249
1997,2,1997.083333,47.822,1.253
1997,3,1997.166667,55.303,1.256
1997,4,1997.25,53.906,1.257
1997,5,1997.333333,55.650,1.257
1997,6,1997.416667,55.208,1.258
1997,7,1997.5,56.158,1.260
1997,8,1997.583333,55.742,1.262
1997,9,1997.666667,52.438,1.265
1997,10,1997.75,53.028,1.268
1997,11,1997.833333,46.270,1.268
1997,12,1997.916667,48.112,1.266
1998,1,1998,47.397,1.268
1998,2,1998.083333,48.606,1.271
1998,3,1998.166667,57.545,1.273
1998,4,1998.25,57.883,1.276
1998,5,1998.333333,60.120,1.278
